"sample.id","value","dataset.id","site.id","site.name","depth","elev","type","pub_year","age","geometry"
58055,11.21,3056,2957,"Como Lake",40,3523,"fossil",1989,3314,c(-105.514165, 37.569525)
58056,11.56,3056,2957,"Como Lake",50,3523,"fossil",1989,4150,c(-105.514165, 37.569525)
58057,10.28,3056,2957,"Como Lake",60,3523,"fossil",1989,4948,c(-105.514165, 37.569525)
58058,10.87,3056,2957,"Como Lake",70,3523,"fossil",1989,5369,c(-105.514165, 37.569525)
58059,11.21,3056,2957,"Como Lake",80,3523,"fossil",1989,5763,c(-105.514165, 37.569525)
58060,11.82,3056,2957,"Como Lake",90,3523,"fossil",1989,6153,c(-105.514165, 37.569525)
61623,17.61,3561,1906,"Potato Lake",25,2205,"fossil",1965,1389,c(-111.345278, 34.462222)
61624,17.83,3561,1906,"Potato Lake",30,2205,"fossil",1965,1471,c(-111.345278, 34.462222)
61625,18.04,3561,1906,"Potato Lake",35,2205,"fossil",1965,1553,c(-111.345278, 34.462222)
61626,17.2,3561,1906,"Potato Lake",40,2205,"fossil",1965,1635,c(-111.345278, 34.462222)
61627,16.64,3561,1906,"Potato Lake",45,2205,"fossil",1965,1717,c(-111.345278, 34.462222)
61628,17.17,3561,1906,"Potato Lake",50,2205,"fossil",1965,1799,c(-111.345278, 34.462222)
61629,17.2,3561,1906,"Potato Lake",55,2205,"fossil",1965,1924,c(-111.345278, 34.462222)
61630,18.04,3561,1906,"Potato Lake",60,2205,"fossil",1965,2182,c(-111.345278, 34.462222)
61631,17.28,3561,1906,"Potato Lake",65,2205,"fossil",1965,2439,c(-111.345278, 34.462222)
61632,17.38,3561,1906,"Potato Lake",67.5,2205,"fossil",1965,2568,c(-111.345278, 34.462222)
61633,16.73,3561,1906,"Potato Lake",70,2205,"fossil",1965,2697,c(-111.345278, 34.462222)
61634,17.06,3561,1906,"Potato Lake",72.5,2205,"fossil",1965,2826,c(-111.345278, 34.462222)
61635,17.81,3561,1906,"Potato Lake",75,2205,"fossil",1965,3357,c(-111.345278, 34.462222)
61636,16.22,3561,1906,"Potato Lake",77.5,2205,"fossil",1965,4290,c(-111.345278, 34.462222)
61637,16.89,3561,1906,"Potato Lake",80,2205,"fossil",1965,5223,c(-111.345278, 34.462222)
62183,20.85,3612,2260,"San Agustin Plains",34,2069,"fossil",1984,3211,c(-108.25, 33.866667)
134540,15.11,14951,10000,"Bear Lake",202,2778,"fossil",1999,132,c(-112.147175, 36.371125)
134541,12.47,14951,10000,"Bear Lake",222,2778,"fossil",1999,839,c(-112.147175, 36.371125)
134542,16.29,14951,10000,"Bear Lake",242,2778,"fossil",1999,1590,c(-112.147175, 36.371125)
134543,11.65,14951,10000,"Bear Lake",262,2778,"fossil",1999,2306,c(-112.147175, 36.371125)
134544,15.68,14951,10000,"Bear Lake",282,2778,"fossil",1999,2997,c(-112.147175, 36.371125)
134545,14.84,14951,10000,"Bear Lake",292,2778,"fossil",1999,3362,c(-112.147175, 36.371125)
134546,12.23,14951,10000,"Bear Lake",312,2778,"fossil",1999,4006,c(-112.147175, 36.371125)
134547,12.16,14951,10000,"Bear Lake",332,2778,"fossil",1999,4293,c(-112.147175, 36.371125)
134548,13.11,14951,10000,"Bear Lake",372,2778,"fossil",1999,4762,c(-112.147175, 36.371125)
134550,10.82,14951,10000,"Bear Lake",401,2778,"fossil",1999,5104,c(-112.147175, 36.371125)
134551,10.12,14951,10000,"Bear Lake",421,2778,"fossil",1999,5337,c(-112.147175, 36.371125)
163770,9.54,17419,11617,"Cumbres Bog",14.5,3100,"fossil",2010,303,c(-106.45052, 37.021745)
163771,14.36,17419,11617,"Cumbres Bog",24.5,3100,"fossil",2010,546,c(-106.45052, 37.021745)
163772,9.5,17419,11617,"Cumbres Bog",34.5,3100,"fossil",2010,789,c(-106.45052, 37.021745)
163773,10.06,17419,11617,"Cumbres Bog",46.5,3100,"fossil",2010,1075,c(-106.45052, 37.021745)
163774,10.62,17419,11617,"Cumbres Bog",54.5,3100,"fossil",2010,1258,c(-106.45052, 37.021745)
163775,12.58,17419,11617,"Cumbres Bog",64.5,3100,"fossil",2010,1441,c(-106.45052, 37.021745)
163776,13.87,17419,11617,"Cumbres Bog",74.5,3100,"fossil",2010,1532,c(-106.45052, 37.021745)
