Year,Prop in niche,Prop in niche (Gaussian centered),Prop in niche (linear lagged)
204,0.8414336917562724,0.683383948329652,0.758653198653199
205,0.7187096774193549,0.690535161023938,0.75570761377213
206,0.8437275985663082,0.696244262368496,0.74807491194588
207,0.5459498207885305,0.699759225343642,0.736829431022979
208,0.8778494623655914,0.705358151442794,0.721342456826328
209,0.7730465949820788,0.711348581855856,0.704290213967633
210,0.567741935483871,0.71692027102291,0.683654983009822
211,0.5311827956989247,0.723372503078646,0.700947415786126
212,0.9131182795698924,0.727071356896969,0.692509736380704
213,0.7726164874551972,0.728295663475363,0.674178342565439
214,0.9102508960573477,0.726619537770743,0.664603640087511
215,0.38810035842293905,0.720628149692458,0.699236295365328
216,0.7673118279569893,0.71737913125949,0.694421325389067
217,0.6342652329749104,0.71363995555995,0.679706434545144
218,0.8678136200716846,0.710628567414461,0.669029465158497
219,0.8798566308243727,0.702332808161333,0.665107604462443
220,0.8824372759856631,0.694389659969373,0.659328771586836
221,0.8580645161290322,0.680555037320039,0.666371859920247
222,0.20673835125448028,0.670959337470041,0.728508433024562
223,0.6398566308243727,0.659727667732641,0.754868500674952
224,0.7982795698924732,0.650289419335896,0.736187062638675
225,0.2658064516129032,0.638452956101423,0.723081506307313
226,0.6421505376344085,0.635837682369932,0.72080125370448
227,0.8342652329749104,0.632489305347586,0.707114772921224
228,0.7532616487455197,0.632056920594494,0.721396453009356
229,0.6385663082437276,0.632273578691187,0.704469580598613
230,0.6551971326164875,0.635303840611012,0.696560070753619
231,0.03526881720430108,0.642998879340024,0.705009542428897
232,0.7136917562724014,0.654853818888001,0.717572654346848
233,0.8473118279569892,0.67383879359673,0.695129482226256
234,0.7204301075268817,0.685181809004515,0.685233285233285
235,0.4488888888888889,0.690698282710827,0.660827631150212
236,0.8392831541218638,0.704576052017177,0.685843380036928
237,0.9019354838709678,0.712211148618895,0.676968145355242
238,0.7724731182795699,0.714458802470619,0.680786358205713
239,0.749820788530466,0.717856819680999,0.662862108023398
240,0.7192831541218638,0.719384897685954,0.64314791540598
241,0.884731182795699,0.717770540688685,0.623209049015501
242,0.9518279569892473,0.719871817225624,0.605891790407919
243,0.879426523297491,0.711759277632792,0.650698071343233
244,0.42379928315412185,0.70744281641227,0.65519465003336
245,0.056200716845878136,0.707595653254195,0.642076680786358
246,0.7488172043010752,0.71300002709624,0.679456314295024
247,0.7222939068100358,0.715975929681281,0.682969790066564
248,0.6043010752688172,0.721071919156876,0.668022777700197
249,0.9410752688172043,0.73051345696509,0.661252773510838
250,0.8832974910394266,0.739787724440716,0.665969060807771
251,0.7908243727598566,0.744027817091634,0.669760585889618
252,0.8301075268817204,0.745851763861723,0.733350090769446
253,0.5032258064516129,0.746281314722952,0.734353674998836
254,0.8962007168458781,0.742751764426168,0.723421620195814
255,0.9326164874551971,0.735004888463529,0.724942823007339
256,0.9172759856630824,0.726546043714485,0.753177240919176
257,0.7003584229390681,0.707730769909897,0.745319865319865
258,0.6725448028673835,0.689803446296259,0.730773790128629
259,0.8017204301075269,0.670770307000327,0.728123632639762
260,0.6804301075268817,0.649252356101925,0.727232385296901
