Year,Average prod (kg/ha),Average prod (Gaussian centered),Average prod (linear lagged)
684,203.803062227841,208.843993634558,219.898287553155
685,268.11502668914176,206.064141269875,220.410852246503
686,164.33480825958702,202.682509006022,219.866337848718
687,155.52824308189352,199.444455155227,214.334111272559
688,206.18513836212952,196.410680078244,209.669497979312
689,203.05341340075853,193.660885127655,206.305505502013
690,184.3714970501475,190.877552834868,209.226511928629
691,168.6179502036803,188.301309970741,213.969171122458
692,165.57839935384183,186.55978485912,219.445642498977
693,225.40240026689142,184.158262496705,214.441401743946
694,185.98972819216183,182.523150829921,216.163222359651
695,179.4745136255092,181.777414297548,215.604353160769
696,154.02359004073605,180.347006605338,212.236274991806
697,170.86857353560893,180.264562857476,208.936307380287
698,184.46854368591093,181.005288094763,205.491894366578
699,188.7408343868521,181.97029123095,202.615568042717
700,144.8971853490659,182.871858702143,202.131216672778
701,184.13161960949571,184.9548781262,198.552101253034
702,188.17225031605562,187.618049478166,201.214245010152
703,176.12239254108724,190.719868330596,195.365453265422
704,205.2252423093131,193.85155679367,190.052490621707
705,216.43239043404972,197.65495799162,188.493483842093
706,159.86395561174322,201.665844516564,180.619315483412
707,178.97938614974012,206.061519766771,182.243108877591
708,237.5425621576064,210.200159025288,185.022539448424
709,254.4047180081472,214.205955377206,183.405540490085
710,182.53811982019946,217.163856132593,181.984433006241
711,242.86643138081192,219.856939302293,182.514906378212
712,236.5816038067144,222.203900684894,184.771735323252
713,234.5071902654867,223.394324081546,187.603280107073
714,242.50090427026268,224.190946542286,185.070298851193
715,230.44439176850682,224.599691627897,186.312732214992
716,225.42921231914596,224.434470475177,188.346395901706
717,238.2434067284731,223.398847914916,193.058367865337
718,233.1873858688018,222.547382948234,196.508756101439
719,243.2626597836775,220.633835711299,198.977303397894
720,167.18527883129653,219.275582730832,200.964146537313
721,171.5689089057452,218.021658158151,207.052237959634
722,247.63606194690266,216.194936484627,209.848473636795
723,192.23122980755724,215.336023792616,212.294950589514
724,217.62426253687315,214.558329832931,216.016530933013
725,262.83783712600086,213.441139804344,217.341802833585
726,243.92808856580982,212.387824359221,217.767272082696
727,144.8021316196095,212.227148506869,223.270123614387
728,234.18541930046354,211.068215606784,227.27419589003
729,184.88843236409608,209.92638715363,225.726403118233
730,246.4626878775109,209.216336205451,222.611306004479
731,175.88212881022616,208.567533887861,226.000722184825
732,176.37503511729176,207.441160722832,223.617904862848
733,255.81715304115747,205.544342399736,221.88970627806
734,231.46519876387134,204.065440850354,220.336921948095
735,185.25703223767383,202.067883265419,217.80962737513
736,180.70145034414946,199.572034520812,216.163041984471
737,264.8328504705717,196.540416480271,215.142960518435
738,157.70831577468746,194.011022871308,212.609315530539
739,167.45687596572552,190.654617835755,210.250761140695
740,226.92909818794774,187.784750457568,206.905564699733
741,171.6071516364658,184.00699273642,210.495636106414
742,163.1484144542773,181.266965184473,213.650743331211
743,177.19687631689845,177.891758990011,209.58572328547
744,187.15688650091306,174.443406540703,210.535539307347
745,180.33266610479,171.2107084793,209.015462325987
746,181.66887027672425,168.997619735578,203.033679573108
747,123.00697078241326,166.721570138118,198.247496828802
748,134.06105141171514,164.25058668375,202.426266533251
749,170.57182364096082,163.102757879619,198.203899281175
750,185.6338232195533,162.585537907544,198.466303096281
751,148.1488270824554,162.623123278505,192.705446190276
752,187.40687772159012,163.983038681222,193.41089443286
753,120.48978086809946,165.438572653585,193.829605503594
754,173.11522861356931,168.088098454767,186.668288865113
755,136.65165402444163,170.926986337065,181.310338006213
756,178.76688263801097,174.508829676415,180.125033673074
757,144.55896193285574,178.2575674816,179.197412159644
