"name","group","element","units","context","S142897","S142898","S142899","S142900","S142901","S142902","S142903","S142904","S142905","S142906","S142907","S142908","S142909","S142910","S142911","S142912","S142913","S142914","S142915","S142916","S142917","S142918","S142919","S142920","S142921","S142922","S142923","S142924","S142925","S142926","S142927","S142928","S142929","S142930","S142931","S142932","S142933","S142934","S142935","S142936","S142937","S142938","S142939","S142940","S142941","S142942","S142943","S142944","S142945","S142946","S142947","S142948","S142949","S142950","S142951","S142952","S142953","S142954","S142955","S142956","S142957","S142958","S142959","S142960","S142961","S142962","S142963","S142964","S142965","S142966","S142967","S142968","S142969","S142970","S142971","S142972","S142973","S142974","S142975","S142976","S142977","S142978","S142979","S142980","S142981","S142982","S142983","S142984","S142985","S142986","S142987","S142988","S142989","S142990","S142991","S142992","S142993","S142994","S142995","S142996","S142997","S142998","S142999","S143000","S143001","S143002","S143003","S143004","S143005","S143006","S143007","S143008","S143009","S143010","S143011","S143012","S143013","S143014","S143015","S143016","S143017","S143018","S143019","S143020","S143021","S143022","S143023","S143024","S143025","S143026","S143027","S143028","S143029","S143030","S143031","S143032","S143033","S143034","S143035","S143036","S143037","S143038","S143039","S143040","S143041","S143042","S143043","S143044","S143045","S143046","S143047","S143048","S143049","S143050","S143051","S143052","S143053","S143054","S143055","S143056","S143057","S143058","S143059","S143060","S143061","S143062","S143063","S143064","S143065","S143066","S143067","S143068","S143069","S143070","S143071","S143072","S143073","S143074","S143075","S143076","S143077","S143078","S143079","S143080","S143081","S143082","S143083","S143084","S143085","S143086","S143087","S143088","S143089","S143090","S143091","S143092","S143093","S143094","S143095","S143096","S143097","S143098","S143099","S143100","S143101","S143102","S143103","S143104"
Amaranthaceae,UPHE,pollen,NISP,,15,10,19,14,12,16,16,20,21,20,29,18,16,21,26,8,24,16,22,25,18,14,17,14,20,16,5,9,20,20,18,13,12,17,13,8,13,11,12,14,18,13,24,17,20,15,9,14,13,14,10,14,12,21,18,16,8,17,13,18,16,15,21,22,12,11,5,9,13,7,8,14,17,13,20,17,11,10,16,18,16,12,16,24,15,16,16,12,9,14,11,10,11,11,19,13,16,7,11,21,14,11,20,26,23,11,14,13,12,13,25,12,16,12,27,19,23,13,16,17,16,16,18,19,12,27,30,40,22,21,33,23,26,24,29,25,23,20,19,34,39,23,26,33,27,20,20,18,21,18,20,14,27,16,12,15,15,13,13,7,9,7,10,19,12,11,14,11,13,12,8,14,11,11,14,13,17,10,15,13,15,13,12,11,13,9,10,13,12,13,8,2,9,7,8,3,7,3,2,2,7,9,3,4,3,6,5,2
Ambrosia,UPHE,pollen,NISP,,4,2,6,4,6,4,2,2,3,3,3,7,3,3,5,5,3,1,11,8,9,4,4,1,3,4,3,1,3,1,2,2,1,,,5,6,5,14,2,2,4,,5,2,2,4,1,,4,,6,2,3,1,1,,1,3,1,2,,1,8,,,2,2,2,4,,2,2,4,2,4,4,1,5,2,5,2,1,6,2,3,3,2,8,3,4,2,1,4,5,1,1,2,,,,3,7,10,5,2,3,3,3,7,3,3,2,1,4,4,1,3,4,3,2,4,3,9,3,11,8,8,4,2,6,6,10,2,1,7,10,3,11,4,6,4,6,16,6,11,1,10,6,2,5,6,3,6,9,8,13,12,7,8,11,7,8,11,12,16,9,5,14,9,9,11,1,10,10,12,5,13,6,3,8,7,12,16,11,7,12,8,12,10,14,21,21,8,10,16,12,9,14,25,17,14,16,21,18,14,12,16
Apiaceae,UPHE,pollen,NISP,,4,2,2,,,1,,,1,3,8,7,3,4,4,4,6,9,4,13,12,5,3,1,3,,1,,1,1,5,1,1,,2,3,3,1,,4,6,2,4,20,1,1,2,1,,3,8,10,9,10,2,6,,,1,,2,,1,,2,2,,1,3,2,4,2,1,1,1,1,1,,,2,1,1,3,2,4,,2,2,3,3,2,2,6,2,2,2,2,,1,6,2,1,2,1,4,,1,4,3,6,4,4,5,2,3,,,1,2,2,3,4,3,4,2,5,4,,,,1,2,7,7,5,8,4,3,5,1,3,3,1,2,1,3,2,3,1,5,2,5,1,4,4,2,5,3,5,1,5,1,2,,1,2,4,6,5,,5,1,3,11,2,4,1,6,3,4,3,2,4,4,2,4,2,3,8,8,6,6,3,8,5,2,7,4,6,5,5,2,6,1,8,6,7,1
Artemisia,UPHE,pollen,NISP,,14,14,17,27,19,20,21,19,26,26,28,31,24,22,27,21,23,23,26,15,28,28,34,30,19,16,16,11,10,12,24,17,10,19,15,18,20,21,31,12,13,19,18,18,26,15,17,14,13,18,16,21,13,16,21,15,20,21,27,24,18,23,28,31,33,12,4,7,8,11,10,13,15,18,27,21,24,16,12,18,20,18,15,13,17,15,17,17,14,8,15,17,13,21,20,17,14,15,8,17,26,15,21,15,26,11,10,26,14,21,26,22,17,20,28,21,25,14,15,16,18,18,22,22,16,35,42,31,26,37,41,42,34,45,35,29,34,24,46,22,31,53,47,50,54,57,44,50,49,42,58,69,50,48,53,42,54,73,59,58,59,85,68,78,65,72,72,76,74,98,103,80,74,84,94,106,102,107,121,110,118,96,114,116,124,146,80,109,105,106,92,108,112,100,106,99,90,115,89,89,90,130,81,119,118,139,102,126
Asteraceae undiff.,UPHE,pollen,NISP,,20,11,11,10,5,10,11,10,13,18,9,10,14,11,18,17,14,18,7,16,13,7,19,13,5,2,6,9,5,8,5,5,5,4,4,5,8,7,7,4,2,5,8,8,8,4,8,5,7,3,5,10,7,12,7,5,7,10,12,8,10,8,6,8,11,10,,5,3,7,13,6,12,10,11,10,10,7,11,13,5,8,11,3,10,9,14,6,8,7,13,6,10,8,6,7,7,1,2,10,9,5,8,8,6,11,5,7,4,9,10,8,4,8,6,13,13,4,7,11,7,7,7,9,5,5,11,12,7,13,6,10,1,8,6,4,5,7,4,8,10,9,5,7,6,8,13,6,2,9,6,7,12,6,8,13,2,2,5,1,6,5,4,3,2,8,11,6,6,5,8,8,6,5,9,12,6,11,11,6,11,12,11,13,16,3,8,10,5,8,6,6,8,11,9,6,11,5,7,4,,9,7,8,12,9,10,5
Boraginaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botryococcus,ALGA,colony,NISP,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,4,1,,,,,18,,,,,,,,,,,,,,,1,,2,,,,,2,6,13,3,,,,2,,2,,1,,2,5,8,15,22,21,16,5,14,13,5,21,19,15,14,16,19,12,6,16,14,23,24,8,25,25,28,3,3,19,49,30,26,22,6,7,11,5,5,16,7,9,11,8,6,7,6,4,8,7,6,9,11,13,5,12,9,7,10,3,17,19,7,10,12,16,7,7,8,6,10,16,13,11,11,12,10,,5,9,4,,3,13,4,3,,2,2,2,3,,1,1,,3,1,3,1,4,1,1,,,,9,6,,1,,2,1,2,,3,9,3,,4,2,3,2,12,3,8,13,4,26,4,4,1,6,1,5,4,9,3,15
Brassicaceae,UPHE,pollen,NISP,,,,,3,,,,,,1,2,8,4,2,9,5,7,3,6,12,10,2,2,,,,,,,,,,,,,1,,4,1,1,,,,,,,,,,2,5,3,3,,1,2,,,1,,,,,,,,1,3,,5,3,,4,1,,1,1,3,1,2,,,,2,,,,,,1,2,,1,,2,,,,,1,,,,2,,,,,1,1,1,,,,1,,,,,1,,,2,1,,,1,1,1,2,,1,1,1,1,1,,1,1,1,,2,,1,2,1,1,,,2,2,2,1,,,1,1,,2,,5,1,3,3,7,2,5,6,2,5,10,5,5,10,2,5,5,4,3,9,8,6,3,6,7,3,8,4,5,3,3,4,5,5,5,7,6,5,10,10,4,4,2,4,2,7,6,
Campanulaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,1,,,,,,,,,,,,1,,,1,1,1,,,,1,,,1,,1,,,,,1,,,,,,,,1,2,,,,1,,,,1,,,,,,,,2,,,1,,,2,,1,1,,,
Carpinus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
